ID da fila;ID da compra;Data da compra;Data de envio;Modo de envio;ID do cliente;Nome do cliente;Segmento;Cidade;Estado;País;Região;ID do produto;Categoria;Sub-categoria;Nome do produto;Vendas;Quantidade;Desconto;Lucro;Lucro Tratado;Marca do produto;Descrição complementar do produto;Descrição do produto;Preço Unitário;Custo;Custo Unitário;Lucro Unitário
1;MX-2015-143658;2015-10-02;2015-10-06;Classe padrão;SR-20575;Sofia Rocha;Varejo;Cidade do México;Distrito Federal;México;Norte;MAT-ET-10001014;Material de escritório;Etiquetas;HON Etiquetas para organização de pastas, Ajustável;130,79999999999998;3;0,0;45,6;45,6;HON;Ajustável;Etiquetas para organização de pastas;43,599999999999994;85,19999999999999;28,399999999999995;15,200000000000001
2;MX-2013-155047;2013-10-15;2013-10-20;Classe padrão;LC-16570;Larissa Cardoso;Varejo;Dos Quebradas;Risaralda;Colômbia;Sul;MÓV-MÓ-10004592;Móveis;Móveis ;Tenex Relógio de parede, Durável;2521,6;8;0,0;907,2;907,2;Tenex;Durável;Relógio de parede;315,2;1614,3999999999999;201,79999999999998;113,4
3;MX-2013-155047;2013-10-15;2013-10-20;Classe padrão;LC-16570;Larissa Cardoso;Varejo;Dos Quebradas;Risaralda;Colômbia;Sul;MÓV-ES-10000849;Móveis;Estantes;Ikea Gaveteiro, Branco;1932,8000000000002;2;0,0;540,8;540,8;Ikea;Branco;Gaveteiro;966,4000000000001;1392,0000000000002;696,0000000000001;270,4
4;MX-2013-155047;2013-10-15;2013-10-20;Classe padrão;LC-16570;Larissa Cardoso;Varejo;Dos Quebradas;Risaralda;Colômbia;Sul;MAT-FI-10003284;Material de escritório;Fichários;Cardinal Pasta argolada, Transparente;354,3999999999999;4;0,0;49,6;49,6;Cardinal;Transparente;Pasta argolada;88,59999999999998;304,7999999999999;76,19999999999997;12,4
5;MX-2013-155047;2013-10-15;2013-10-20;Classe padrão;LC-16570;Larissa Cardoso;Varejo;Dos Quebradas;Risaralda;Colômbia;Sul;MAT-AR-10002762;Material de escritório;Arte;Sanford Tela, Tamanhos variados;716,0000000000001;2;0,0;114,4;114,4;Sanford;Tamanhos variados;Tela;358,00000000000006;601,6000000000001;300,80000000000007;57,2
6;MX-2013-155047;2013-10-15;2013-10-20;Classe padrão;LC-16570;Larissa Cardoso;Varejo;Dos Quebradas;Risaralda;Colômbia;Sul;MAT-EN-10000610;Material de escritório;Envelopes;GlobeWeis Com lacre, Vermelho;561,2;2;0,0;213,2;213,2;GlobeWeis;Vermelho;Com lacre;280,6;348,00000000000006;174,00000000000003;106,6
7;MX-2014-134096;2014-09-27;2014-10-01;Classe padrão;DG-13000;Diogo Goncalves;Varejo;São Paulo;São Paulo;Brasil;Sul;MAT-EN-10000610;Material de escritório;Envelopes;GlobeWeis Com lacre, Vermelho;561,2;2;0,0;213,2;213,2;GlobeWeis;Vermelho;Com lacre;280,6;348,00000000000006;174,00000000000003;106,6
8;MX-2014-134096;2014-09-27;2014-10-01;Classe padrão;DG-13000;Diogo Goncalves;Varejo;São Paulo;São Paulo;Brasil;Sul;TEC-MÁ-10001040;Tecnologia;Máquinas;Konica Impressora de crachás, Vermelho;3446,3999999999996;3;0,0;1654,1999999999998;1654,1999999999998;Konica;Vermelho;Impressora de crachás;1148,8;1792,1999999999998;597,4;551,4
9;MX-2014-134096;2014-09-27;2014-10-01;Classe padrão;DG-13000;Diogo Goncalves;Varejo;São Paulo;São Paulo;Brasil;Sul;MAT-MA-10001660;Material de escritório;Materiais;Elite Estilete, Industrial;973,5999999999999;4;0,0;194,4;194,4;Elite;Industrial;Estilete;243,39999999999998;779,1999999999999;194,79999999999998;48,6
10;MX-2014-134096;2014-09-27;2014-10-01;Classe padrão;DG-13000;Diogo Goncalves;Varejo;São Paulo;São Paulo;Brasil;Sul;TEC-AC-10004490;Tecnologia;Acessórios;Enermax Roteador, Reciclado;3415,2;2;0,0;136,4;136,4;Enermax;Reciclado;Roteador;1707,6;3278,7999999999997;1639,3999999999999;68,2
11;MX-2014-134096;2014-09-27;2014-10-01;Classe padrão;DG-13000;Diogo Goncalves;Varejo;São Paulo;São Paulo;Brasil;Sul;MAT-FI-10001314;Material de escritório;Fichários;Wilson Jones Reforço para fichário, Durável;120,60000000000001;3;0,0;34,8;34,8;Wilson;Durável;Jones Reforço para fichário;40,2;85,80000000000001;28,600000000000005;11,6
12;MX-2014-156335;2014-03-05;2014-03-12;Classe padrão;VC-21250;Vinícius Cardoso;Varejo;Managua;Managua;Nicarágua;Central;MAT-CO-10002112;Material de escritório;Colchetes;Accos Grampos, Embalagem com 12;207,60000000000002;3;0,0;95,4;95,4;Accos;Embalagem com 12;Grampos;69,2;112,20000000000002;37,400000000000006;31,8
13;MX-2014-156335;2014-03-05;2014-03-12;Classe padrão;VC-21250;Vinícius Cardoso;Varejo;Managua;Managua;Nicarágua;Central;MÓV-CA-10004486;Móveis;Cadeiras;HON Cadeira dobrável, Preto;2106,4;4;0,0;504,79999999999995;504,79999999999995;HON;Preto;Cadeira dobrável;526,6;1601,6000000000001;400,40000000000003;126,19999999999999
14;MX-2015-121923;2015-09-24;2015-10-01;Classe padrão;MC-18910;Melissa Cunha;Pequenas e Medias Empresas;Managua;Managua;Nicarágua;Central;MAT-EN-10001401;Material de escritório;Envelopes;Kraft Com lacre, Prata;801,0000000000002;3;0,0;376,20000000000005;376,20000000000005;Kraft;Prata;Com lacre;267,00000000000006;424,8000000000002;141,60000000000005;125,40000000000002
15;MX-2015-135706;2015-10-18;2015-10-23;Classe padrão;JA-15625;Júlia Almeida;Varejo;Brasília;Distrito Federal;Brasil;Sul;MAT-AR-10002737;Material de escritório;Arte;Stanley Tela, Embalagem tipo bulk;1326,4;4;0,0;357,6;357,6;Stanley;Embalagem tipo bulk;Tela;331,6;968,8000000000001;242,20000000000002;89,4
16;MX-2015-135706;2015-10-18;2015-10-23;Classe padrão;JA-15625;Júlia Almeida;Varejo;Brasília;Distrito Federal;Brasil;Sul;MAT-CO-10002418;Material de escritório;Colchetes;Advantus Prendedores de papel, Metal;129,4;1;0,0;10,2;10,2;Advantus;Metal;Prendedores de papel;129,4;119,2;119,2;10,2
17;US-2014-126655;2014-06-26;2014-07-01;Classe padrão;GO-14800;Giovanna Oliveira;Grande Empresa;San Miguelito;Panamá;Panamá;Central;MAT-EN-10001346;Material de escritório;Envelopes;Jiffy Fita dupla face, Vermelho;188,4;2;0,4;-66,0;66,0;Jiffy;Vermelho;Fita dupla face;94,2;122,80000000000001;61,400000000000006;33,0
18;US-2014-126655;2014-06-26;2014-07-01;Classe padrão;GO-14800;Giovanna Oliveira;Grande Empresa;San Miguelito;Panamá;Panamá;Central;MÓV-MÓ-10002468;Móveis;Móveis ;Deflect-O Moldura, Embalagem multipack;3082,7999999999997;7;0,4;1491,0;1491,0;Deflect-O;Embalagem multipack;Moldura;440,4;1592,1999999999998;227,45714285714283;213,0
19;US-2014-126655;2014-06-26;2014-07-01;Classe padrão;GO-14800;Giovanna Oliveira;Grande Empresa;San Miguelito;Panamá;Panamá;Central;MAT-EN-10004794;Material de escritório;Envelopes;GlobeWeis Malote, Prata;401,75999999999993;2;0,4;60,64;60,64;GlobeWeis;Prata;Malote;200,87999999999997;341,5199999999999;170,75999999999996;30,32
